year,strata,n,biomass,cv
1990,CGOA (0-500 m),371,5940.672835,0.2499101395214968
1990,EGOA (0-500 m),202,11996.311936,0.10521763394520794
1990,WGOA (0-500 m),135,1679.205149,0.4006728746697583
1990,CGOA (501-700 m),NA,NA,NA
1990,CGOA (701-1000 m),NA,NA,NA
1990,EGOA (501-700 m),NA,NA,NA
1990,EGOA (701-1000 m),NA,NA,NA
1990,WGOA (501-700 m),NA,NA,NA
1990,WGOA (701-1000 m),NA,NA,NA
1993,CGOA (0-500 m),412,12508.481869,0.16360623481214823
1993,EGOA (0-500 m),192,16800.087369,0.09556797876700117
1993,WGOA (0-500 m),170,3705.9456680000003,0.2219752022399771
1993,CGOA (501-700 m),NA,NA,NA
1993,CGOA (701-1000 m),NA,NA,NA
1993,EGOA (501-700 m),NA,NA,NA
1993,EGOA (701-1000 m),NA,NA,NA
1993,WGOA (501-700 m),NA,NA,NA
1993,WGOA (701-1000 m),NA,NA,NA
1996,CGOA (0-500 m),393,19030.267915,0.10213623812290963
1996,EGOA (0-500 m),214,24910.877031,0.10820201039535499
1996,WGOA (0-500 m),200,8042.922831999999,0.14957899517694845
1996,CGOA (501-700 m),NA,NA,NA
1996,CGOA (701-1000 m),NA,NA,NA
1996,EGOA (501-700 m),NA,NA,NA
1996,EGOA (701-1000 m),NA,NA,NA
1996,WGOA (501-700 m),NA,NA,NA
1996,WGOA (701-1000 m),NA,NA,NA
1999,CGOA (0-500 m),385,22934.892947,0.0854057797526384
1999,EGOA (0-500 m),191,25889.589155,0.10197036399871444
1999,WGOA (0-500 m),141,7028.718062999999,0.23177180648752657
1999,CGOA (501-700 m),11,6724.777609999999,0.1407625533609068
1999,CGOA (701-1000 m),18,2929.9923419999996,0.15269904962346836
1999,EGOA (501-700 m),7,2837.8695420000004,0.21416425368037345
1999,EGOA (701-1000 m),5,1921.6588239999999,0.3440930998951785
1999,WGOA (501-700 m),5,5389.310507,0.15252815452818663
1999,WGOA (701-1000 m),1,1678.540485,0.1
2001,CGOA (0-500 m),350,19908.334643,0.08152143755181178
2001,EGOA (0-500 m),NA,NA,NA
2001,WGOA (0-500 m),139,8752.842745,0.17074625589081033
2001,CGOA (501-700 m),NA,NA,NA
2001,CGOA (701-1000 m),NA,NA,NA
2001,EGOA (501-700 m),NA,NA,NA
2001,EGOA (701-1000 m),NA,NA,NA
2001,WGOA (501-700 m),NA,NA,NA
2001,WGOA (701-1000 m),NA,NA,NA
2003,CGOA (0-500 m),415,42787.2313,0.14103216147915099
2003,EGOA (0-500 m),153,22392.922573,0.07877740961343319
2003,WGOA (0-500 m),226,15035.251337,0.17648450122137296
2003,CGOA (501-700 m),5,10462.488507999999,0.41281306993775535
2003,CGOA (701-1000 m),NA,NA,NA
2003,EGOA (501-700 m),6,5011.192797,0.2346671481495032
