year,strata,cpue,cv
1992,WGOA,11389.890248135214,0.12209191340166109
1992,CGOA,20696.50290140854,0.12288582485957766
1992,EGOA,11508.259038402432,0.09212185702970602
1993,WGOA,8308.097435315205,0.1463154279461003
1993,CGOA,16336.90117195495,0.2062052444420392
1993,EGOA,16279.748928588055,0.08663853249128314
1994,WGOA,8849.192218502218,0.19815516429544555
1994,CGOA,16017.044857138084,0.16219999641965696
1994,EGOA,11420.28695712303,0.09719354749446117
1995,WGOA,8585.12897424958,0.14288865236749185
1995,CGOA,13042.673696767964,0.16397821321537678
1995,EGOA,15390.850389920237,0.0945320856374532
1996,WGOA,10650.015576785661,0.12231869488873
1996,CGOA,17214.524168567365,0.15570169728621555
1996,EGOA,17773.2374075626,0.09053950262213753
1997,WGOA,5720.736993847092,0.11274880560263366
1997,CGOA,15449.238140307616,0.17270146211383403
1997,EGOA,20536.54628471719,0.08188601003056689
1998,WGOA,7711.631924765527,0.10113330615579813
1998,CGOA,18082.657984284277,0.10441067969645783
1998,EGOA,17279.879606738934,0.05791750574691423
1999,WGOA,6309.18183291208,0.14829146776503907
1999,CGOA,23833.620117127182,0.11416585153379971
1999,EGOA,18512.023186949842,0.10156272223449152
2000,WGOA,6042.852394370639,0.15830754627000668
2000,CGOA,16954.30589402366,0.16202785905900172
2000,EGOA,18619.100324166775,0.09979673189233554
2001,WGOA,7351.509688577491,0.17555156515076675
2001,CGOA,31075.981819724366,0.13666165894402482
2001,EGOA,23070.583063392725,0.07540005360542237
2002,WGOA,13157.233451881362,0.2817117228350841
2002,CGOA,23109.048287643927,0.11533859633705244
2002,EGOA,16872.337333239353,0.08288443951536095
2003,WGOA,8807.147063495106,0.17765441044713207
2003,CGOA,22860.825225318044,0.10331945976953154
2003,EGOA,16468.08754574566,0.08723429100282783
2004,WGOA,7566.393795846478,0.16403054479439846
2004,CGOA,14944.303830543551,0.08697919420835225
2004,EGOA,12631.369646078323,0.10695980735473046
2005,WGOA,9922.418902050196,0.30634499291884976
2005,CGOA,19580.412576330833,0.15146380049878855
2005,EGOA,17418.289624127843,0.09793137844041389
2006,WGOA,7513.973931415746,0.16963169607274672
2006,CGOA,19549.723447563105,0.11331260541886594
2006,EGOA,19307.275910891407,0.09010943366297974
2007,WGOA,7676.496081891313,0.20368389595703343
2007,CGOA,18925.183805526183,0.1436104443048656
2007,EGOA,19877.500312505395,0.06524231623625062
2008,WGOA,9942.756023060652,0.2331062031512326
2008,CGOA,27239.01629030486,0.1302196027575166
2008,EGOA,25210.867412855794,0.1035362460696763
2009,WGOA,11289.835288689834,0.15477474382710493
2009,CGOA,19801.522221983403,0.19534689806341074
2009,EGOA,18339.495311776496,0.07977372905564584
2010,WGOA,14503.836184001655,0.25353251998439297
2010,CGOA,24000.05254240364,0.13170459354245478
2010,EGOA,26361.17824780781,0.0903651273480254
2011,WGOA,9207.998835217793,0.21009449691747661
2011,CGOA,23041.205198689844,0.12152209563180746
2011,EGOA,21823.205293583567,0.07400977212685793
2012,WGOA,6859.815858991368,0.16777854582211915
2012,CGOA,26388.233472486805,0.09883819525989888
2012,EGOA,22552.95389244011,0.0918489148780221
2013,WGOA,12085.02078456791,0.11604139403741519
2013,CGOA,31873.0391287402,0.13398652504296044
2013,EGOA,26493.1613877382,0.05814422015915307
2014,WGOA,12419.60075318167,0.15455564674962685
2014,CGOA,27896.93616401747,0.21284368856468752
2014,EGOA,21839.15212818476,0.0930665779030348
2015,WGOA,12388.922120507152,0.1587463079462137
2015,CGOA,27129.95439767671,0.10716133055593871
2015,EGOA,19669.286465288016,0.07564444573579497
2016,WGOA,13473.195845250591,0.16961284189551387
2016,CGOA,19792.59818013142,0.0759334118209613
2016,EGOA,22030.929366922952,0.09295067817004785
2017,WGOA,13428.838033146012,0.17702117842586593
2017,CGOA,25866.184081713454,0.0772660513643135
2017,EGOA,21605.20432683793,0.11536651433223392
2018,WGOA,13652.204076911365,0.223095108191832
2018,CGOA,19636.61554071858,0.09748701801386545
2018,EGOA,22453.270057713104,0.08497694875150495
2019,WGOA,18104.445073326624,0.2850976612172411
2019,CGOA,19329.17406043311,0.11704217460480743
2019,EGOA,18683.640268377512,0.04994652580299472
2020,WGOA,9468.647007707084,0.157612188580334
2020,CGOA,18657.18533135044,0.20268742345359606
2020,EGOA,13300.229708483419,0.062331862327172756
2021,WGOA,7884.85272671722,0.09270116710749006
2021,CGOA,16327.995086605373,0.10388555979401005
2021,EGOA,11081.186764421886,0.05886561339126423
2022,WGOA,6739.973382380469,0.22978430023072727
2022,CGOA,16028.016529482495,0.1053345852566019
2022,EGOA,20701.22294290079,0.0934430564752854
